"12031293":"NAN 2                                           1(6x900g)":"900g":"r 114.23":"r 685.37":"r 685.37":"r 47,975.76":"6":"6":"70":"420":"70":"5.4":"Infant Milks":"601.2":"100.2"
"12092843":"NAN 2                                          2(6x250g)":"250g":"r 31.46":"r 188.78":"r 377.57":"r 39,267.07":"6":"12":"104":"1248":"208":"3":"Infant Milks":"331.2":"27.6"
"12033610":"NAN 2                                          2(6x400g)":"400g":"r 51.13":"r 306.77":"r 613.55":"r 44,175.46":"6":"12":"72":"864":"144":"4.8":"Infant Milks":"538.2":"44.85"
"12033590":"NAN 2                                         1(6x1.8kg)":"1.8kg":"r 203.38":"r 1,220.26":"r 1,220.26":"r 42,708.96":"6":"6":"35":"210":"35":"10.8":"Infant Milks":"1070.4":"178.4"
"12100287":"NAN 3                                           1(6x900g)":"900g":"r 114.23":"r 685.37":"r 685.37":"r 47,975.76":"6":"6":"70":"420":"70":"5.4":"Infant Milks":"601.2":"100.2"
"12100216":"NAN 3                                           2(6x400g)":"400g":"r 51.13":"r 306.77":"r 613.55":"r 44,175.46":"6":"12":"72":"864":"144":"4.8":"Infant Milks":"538.2":"44.85"
"12095224":"NAN 3                                          1(6x1.8kg)":"1.8kg":"r 203.38":"r 1,220.26":"r 1,220.26":"r 34,167.17":"6":"6":"28":"168":"28":"10.8":"Infant Milks":"1070.4":"178.4"
"12158655":"NESTUM 1 Banana                     4(6x250g)":"250g":"r 14.48":"r 86.87":"r 347.47":"r 12,508.99":"6":"24":"36":"864":"144":"6":"Infant Cereals":"304.8":"12.7"
"12110122":"NESTUM 1 First Cer                    2(6x500g)":"500g":"r 26.96":"r 161.77":"r 323.53":"r 10,353.02":"6":"12":"32":"384":"64":"6":"Infant Cereals":"283.8":"23.65"
"12102452":"NESTUM 1 First Cer                    4(6x250g)":"250g":"r 14.48":"r 86.87":"r 347.47":"r 12,508.99":"6":"24":"36":"864":"144":"6":"Infant Cereals":"304.8":"12.7"
"12110809":"NESTUM 1 Maize                        2(6x500g)":"500g":"r 26.96":"r 161.77":"r 323.53":"r 10,353.02":"6":"12":"32":"384":"64":"6":"Infant Cereals":"283.8":"23.65"
"12102451":"NESTUM 1 Maize                        4(6x250g)":"250g":"r 14.48":"r 86.87":"r 347.47":"r 12,508.99":"6":"24":"36":"864":"144":"6":"Infant Cereals":"304.8":"12.7"
"12118966":"NESTUM 1 Rice                           4(6x250g)":"250g":"r 14.48":"r 86.87":"r 347.47":"r 12,508.99":"6":"24":"36":"864":"144":"6":"Infant Cereals":"304.8":"12.7"
"12118882":"NESTUM 2 Chamomile                4(6x250g)":"250g":"r 15.28":"r 91.66":"r 366.62":"r 13,198.46":"6":"24":"36":"864":"144":"6":"Infant Cereals":"321.6":"13.4"
"12113869":"NESTUM 2 Honey                       2(6x500g)":"500g":"r 28.27":"r 169.63":"r 339.26":"r 10,856.45":"6":"12":"32":"384":"64":"6":"Infant Cereals":"297.6":"24.8"
"12102448":"NESTUM 2 Honey                       4(6x250g)":"250g":"r 15.28":"r 91.66":"r 366.62":"r 13,198.46":"6":"24":"36":"864":"144":"6":"Infant Cereals":"321.6":"13.4"
"12102443":"NESTUM 2 Mixed Cer                 4(6x250g)":"250g":"r 15.28":"r 91.66":"r 366.62":"r 13,198.46":"6":"24":"36":"864":"144":"6":"Infant Cereals":"321.6":"13.4"
"12112463":"NESTUM 2 Mixed Cer                 4(6x500g)":"500g":"r 28.27":"r 169.63":"r 339.26":"r 10,856.45":"6":"12":"32":"384":"64":"6":"Infant Cereals":"297.6":"24.8"
"12167294":"NESTUM 3 5 Cereal                    2(6x500g)":"500g":"r 29.47":"r 176.81":"r 353.63":"r 11,316.10":"6":"12":"32":"384":"64":"6":"Infant Cereals":"310.2":"25.85"
"12167295":"NESTUM 3 5 Cereal                    4(6x250g)":"250g":"r 15.79":"r 94.73":"r 378.94":"r 13,641.70":"6":"24":"36":"864":"144":"6":"Infant Cereals":"332.4":"13.85"
"12119201":"NESTUM 3 Banana + Strw          4(6x250g)":"250g":"r 15.79":"r 94.73":"r 378.94":"r 13,641.70":"6":"24":"36":"864":"144":"6":"Infant Cereals":"332.4":"13.85"
"12102444":"NESTUM 3 Whole Wht                 4(6x250g)":"250g":"r 15.79":"r 94.73":"r 378.94":"r 13,641.70":"6":"24":"36":"864":"144":"6":"Infant Cereals":"332.4":"13.85"
"12153045":"PELARGON                                 1(6x900g)":"900g":"r 109.73":"r 658.35":"r 658.35":"r 46,084.50":"6":"6":"70":"420":"70":"5.4":"Infant Milks":"577.5":"96.25"
"8302072":"PELARGON                                 2(6x250g)":"250g":"r 30.15":"r 180.92":"r 361.84":"r 37,630.94":"6":"12":"104":"1248":"208":"3":"Infant Milks":"317.4":"26.45"
"12153046":"PELARGON                                 2(6x400g)":"400g":"r 49.08":"r 294.46":"r 588.92":"r 42,402.53":"6":"12":"72":"864":"144":"4.8":"Infant Milks":"516.6":"43.05"
"12070478":"PELARGON                                1(6x1.8kg)":"1.8kg":"r 195.17":"r 1,171.01":"r 1,171.01":"r 40,985.28":"6":"6":"35":"210":"35":"10.8":"Infant Milks":"1027.2":"171.2"
