12100287:"NAN 3                                           1(6x900g)":"900g":114.23:685.37:685.37:47975.76:6:6:420:70:70:5.4:"INFANT NUTRITION":"Infant Milks":601.2:100.2
12100216:"NAN 3                                           2(6x400g)":"400g":51.13:306.77:613.55:44175.46:6:12:864:72:144:4.8:"INFANT NUTRITION":"Infant Milks":538.2:44.85
12095224:"NAN 3                                          1(6x1.8kg)":"1.8kg":203.38:1220.26:1220.26:34167.17:6:6:168:28:28:10.8:"INFANT NUTRITION":"Infant Milks":1070.4:178.4
12158655:"NESTUM 1 Banana                     4(6x250g)":"250g":14.48:86.87:347.47:12508.99:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":304.8:12.7
12110122:"NESTUM 1 First Cer                    2(6x500g)":"500g":26.96:161.77:323.53:10353.02:6:12:384:32:64:6:"INFANT NUTRITION":"Infant Cereals":283.8:23.65
12102452:"NESTUM 1 First Cer                    4(6x250g)":"250g":14.48:86.87:347.47:12508.99:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":304.8:12.7
12110809:"NESTUM 1 Maize                        2(6x500g)":"500g":26.96:161.77:323.53:10353.02:6:12:384:32:64:6:"INFANT NUTRITION":"Infant Cereals":283.8:23.65
12102451:"NESTUM 1 Maize                        4(6x250g)":"250g":14.48:86.87:347.47:12508.99:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":304.8:12.7
12118966:"NESTUM 1 Rice                           4(6x250g)":"250g":14.48:86.87:347.47:12508.99:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":304.8:12.7
12118882:"NESTUM 2 Chamomile                4(6x250g)":"250g":15.28:91.66:366.62:13198.46:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":321.6:13.4
12113869:"NESTUM 2 Honey                       2(6x500g)":"500g":28.27:169.63:339.26:10856.45:6:12:384:32:64:6:"INFANT NUTRITION":"Infant Cereals":297.6:24.8
12102448:"NESTUM 2 Honey                       4(6x250g)":"250g":15.28:91.66:366.62:13198.46:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":321.6:13.4
12102443:"NESTUM 2 Mixed Cer                 4(6x250g)":"250g":15.28:91.66:366.62:13198.46:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":321.6:13.4
12112463:"NESTUM 2 Mixed Cer                 4(6x500g)":"500g":28.27:169.63:339.26:10856.45:6:12:384:32:64:6:"INFANT NUTRITION":"Infant Cereals":297.6:24.8
12167294:"NESTUM 3 5 Cereal                    2(6x500g)":"500g":29.47:176.81:353.63:11316.1:6:12:384:32:64:6:"INFANT NUTRITION":"Infant Cereals":310.2:25.85
12167295:"NESTUM 3 5 Cereal                    4(6x250g)":"250g":15.79:94.73:378.94:13641.7:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":332.4:13.85
12119201:"NESTUM 3 Banana + Strw          4(6x250g)":"250g":15.79:94.73:378.94:13641.7:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":332.4:13.85
12102444:"NESTUM 3 Whole Wht                 4(6x250g)":"250g":15.79:94.73:378.94:13641.7:6:24:864:36:144:6:"INFANT NUTRITION":"Infant Cereals":332.4:13.85
12153045:"PELARGON                                 1(6x900g)":"900g":109.73:658.35:658.35:46084.5:6:6:420:70:70:5.4:"INFANT NUTRITION":"Infant Milks":577.5:96.25
8302072:"PELARGON                                 2(6x250g)":"250g":30.15:180.92:361.84:37630.94:6:12:1248:104:208:3:"INFANT NUTRITION":"Infant Milks":317.4:26.45
12153046:"PELARGON                                 2(6x400g)":"400g":49.08:294.46:588.92:42402.53:6:12:864:72:144:4.8:"INFANT NUTRITION":"Infant Milks":516.6:43.05
12070478:"PELARGON                                1(6x1.8kg)":"1.8kg":195.17:1171.01:1171.01:40985.28:6:6:210:35:35:10.8:"INFANT NUTRITION":"Infant Milks":1027.2:171.2
8301048:"SCM                                                       4(6x385g)":"385g":14.08:84.47:337.9:35141.18:6:24:2496:104:416:9.24:"DAIRY":"Canned Milks":296.4:12.35
8301080:"GOLDCROSS Sweetnd Cond Milk         4(6x385g)":"385g":14.08:84.47:337.9:35141.18:6:24:2496:104:416:9.24:"DAIRY":"Canned Milks":296.4:12.35
8301118:"IDEAL Evaporated Milk                           4(6x380g)":"380g":16.7:100.21:400.82:35272.51:6:24:2112:88:352:9.12:"DAIRY":"Canned Milks":351.6:14.65
8301119:"IDEAL Low fat Evap Milk                         4(6x380g)":"380g":16.7:100.21:400.82:35272.51:6:24:2112:88:352:9.12:"DAIRY":"Canned Milks":351.6:14.65
8301051:"TREAT Caramel                                     4(6x360g)":"360g":16.7:100.21:400.82:41685.7:6:24:2496:104:416:8.64:"DAIRY":"Canned Milks":351.6:14.65
8301219:"Dessert Cream                                       4(6x290g)":"290g":16.19:97.13:388.51:40405.25:6:24:2496:104:416:6.96:"DAIRY":"Canned Milks":340.8:14.2
8301300:"Dessert Cream                                       4(6x155g)":"155g":10.09:60.53:242.14:50364.29:6:24:4992:208:832:3.72:"DAIRY":"Canned Milks":212.4:8.85
12160794:"Caramel Sauce                                       4(6x340g)":"340g":16.7:100.21:400.82:39280.75:6:24:2352:98:392:8.16:"DAIRY":"Canned Milks":351.6:14.65
12188331:"IDEAL Milk Coconut Flavor                    4(6x300g)":"300g":16.7:100.21:400.82:35272.51:6:24:2112:88:352:7.2:"DAIRY":"Canned Milks":351.6:14.65
12189336:"IDEAL Milk Cord & Chilli                         4(6x300g)":"300g":16.7:100.21:400.82:35272.51:6:24:2112:88:352:7.2:"DAIRY":"Canned Milks":351.6:14.65
12189337:"IDEALMilk Mushroom & Garlic                4(6x300g)":"300g":16.7:100.21:400.82:35272.51:6:24:2112:88:352:7.2:"DAIRY":"Canned Milks":351.6:14.65
8301411:"NESPRAY                                              2(6x250g)":"250g":26.9:161.4:322.8:33571.2:6:12:1248:104:208:3:"DAIRY":"Powdered Milks":322.8:26.9
8301431:"NESPRAY                                              2(6x400g)":"400g":39.65:237.9:475.8:30451.2:6:12:768:64:128:4.8:"DAIRY":"Powdered Milks":475.8:39.65
8301432:"NESPRAY                                                (6x900g)":"900g":89.2:535.2:535.2:32112:6:6:360:60:60:5.4:"DAIRY":"Powdered Milks":535.2:89.2
8301433:"NESPRAY                                               (6x1.8kg)":"1.8kg":169.65:1017.9:1017.9:35626.5:6:6:210:35:35:10.8:"DAIRY":"Powdered Milks":1017.9:169.65
12074672:"NESPRAY  Sachet                                 (24x250g)":"250g":23.65:567.6:567.6:31785.6:24:24:1344:56:56:6:"DAIRY":"Powdered Milks":567.6:23.65
8301409:"NESPRAY  Sachet                                  12x500g)":"500g":37.95:455.4:455.4:27324:12:12:720:60:60:6:"DAIRY":"Powdered Milks":455.4:37.95
8309957:"KLIM                                                       2(6x250g)":"250g":30.67:184:367.99:38271.17:6:12:1248:104:208:3:"DAIRY":"Powdered Milks":322.8:26.9
8301744:"KLIM                                                       2(6x400g)":"400g":45.2:271.21:542.41:34714.37:6:12:768:64:128:4.8:"DAIRY":"Powdered Milks":475.8:39.65
8301745:"KLIM                                                         (6x900g)":"900g":101.69:610.13:610.13:36607.68:6:6:360:60:60:5.4:"DAIRY":"Powdered Milks":535.2:89.2
8301746:"KLIM                                                        (6x1.8kg)":"1.8kg":193.4:1160.41:1160.41:40614.21:6:6:210:35:35:10.8:"DAIRY":"Powdered Milks":1017.9:169.65
8309959:"KLIM   Sachet                                         (12x500g)":"500g":43.26:519.16:519.16:31149.36:12:12:720:60:60:6:"DAIRY":"Powdered Milks":455.4:37.95
8301438:"NIDO 1+                                                 2(6x400g)":"400g":51.53:309.17:618.34:39573.5:6:12:768:64:128:4.8:"DAIRY":"Growing Up Milks":542.4:45.2
8301439:"NIDO 1+                                                   (6x900g)":"900g":110.18:661.09:661.09:39665.16:6:6:360:60:60:5.4:"DAIRY":"Growing Up Milks":579.9:96.65
8301996:"NIDO 1+                                                  (6x1.8kg)":"1.8kg":174.93:1049.6:1049.6:36735.93:6:6:210:35:35:10.8:"DAIRY":"Growing Up Milks":920.7:153.45
8301434:"NIDO 3+                                                 2(6x400g)":"400g":51.53:309.17:618.34:39573.5:6:12:768:64:128:4.8:"DAIRY":"Growing Up Milks":542.4:45.2
8301435:"NIDO 3+                                                   (6x900g)":"900g":110.18:661.09:661.09:39665.16:6:6:360:60:60:5.4:"DAIRY":"Growing Up Milks":579.9:96.65
12125624:"NIDO 3+ PREBIO                                    (6x1.8kg)":1.8:174.93:1049.6:1049.6:36735.93:6:6:210:35:35:10.8:"DAIRY":"Growing Up Milks":920.7:153.45
